MON,ASL,DSA,OSS,VFB,MON
MON,ASL,DSA,TENTRB,TRO,MON
MON,ASL,DSA,TENTRB,VFB,MON
MON,ASL,DSA,TEQTRC,TRO,MON
MON,ASL,DSA,TEQTRC,VFB,MON
MON,ASL,DSA,TRO,VFB,MON
MON,ASL,DSS,KVB,MID,MON
MON,ASL,DSS,KVB,NLNVAL,MON
MON,ASL,DSS,KVB,OSC,MON
MON,ASL,DSS,KVB,OSO,MON
MON,ASL,DSS,KVB,OSS,MON
MON,ASL,DSS,KVB,TENTRB,MON
MON,ASL,DSS,KVB,TEQTRC,MON
MON,ASL,DSS,KVB,TRO,MON
MON,ASL,DSS,KVB,VFB,MON
MON,ASL,DSS,MID,OSC,MON
MON,ASL,DSS,MID,OSO,MON
MON,ASL,DSS,MID,OSS,MON
MON,ASL,DSS,MID,TENTRB,MON
MON,ASL,DSS,MID,TEQTRC,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,DSS,MID,VFB,MON
MON,ASL,DSS,NLNVAL,OSO,MON
MON,ASL,DSS,NLNVAL,TRO,MON
MON,ASL,DSS,OSC,OSO,MON
MON,ASL,DSS,OSC,OSS,MON
MON,ASL,DSS,OSC,TENTRB,MON
MON,ASL,DSS,OSC,TEQTRC,MON
MON,ASL,DSS,OSC,TRO,MON
MON,ASL,DSS,OSC,VFB,MON
MON,ASL,DSS,OSO,OSS,MON
MON,ASL,DSS,OSO,TENTRB,MON
MON,ASL,DSS,OSO,TEQTRC,MON
MON,ASL,DSS,OSO,TRO,MON
MON,ASL,DSS,OSO,VFB,MON
MON,ASL,DSS,OSS,TENTRB,MON
MON,ASL,DSS,OSS,TEQTRC,MON
MON,ASL,DSS,OSS,TRO,MON
MON,ASL,DSS,OSS,VFB,MON
MON,ASL,DSS,TENTRB,TRO,MON
MON,ASL,DSS,TENTRB,VFB,MON
MON,ASL,DSS,TEQTRC,TRO,MON
MON,ASL,DSS,TEQTRC,VFB,MON
MON,ASL,DSS,TRO,VFB,MON
MON,ASL,KVB,MID,NLNVAL,MON
MON,ASL,KVB,MID,OSC,MON
MON,ASL,KVB,MID,OSE,MON
MON,ASL,KVB,MID,OSS,MON
MON,ASL,KVB,MID,TENTRB,MON
MON,ASL,KVB,MID,TEQTRC,MON
