MON,MID,NLNVAL,TEQTRC,MON
MON,MID,NLNVAL,VFB,MON
MON,MID,OSC,OSE,MON
MON,MID,OSC,STASTB,MON
MON,MID,OSC,STC,MON
MON,MID,OSE,OSO,MON
MON,MID,OSE,OSS,MON
MON,MID,OSE,STASTB,MON
MON,MID,OSE,STC,MON
MON,MID,OSE,TENTRB,MON
MON,MID,OSE,TEQTRC,MON
MON,MID,OSE,TRO,MON
MON,MID,OSE,VFB,MON
MON,MID,OSO,STASTB,MON
MON,MID,OSS,STASTB,MON
MON,MID,OSS,STC,MON
MON,MID,STASTB,STC,MON
MON,MID,STASTB,TENTRB,MON
MON,MID,STASTB,TEQTRC,MON
MON,MID,STASTB,TRO,MON
MON,MID,STASTB,VFB,MON
MON,MID,STC,TENTRB,MON
MON,MID,STC,TEQTRC,MON
MON,MID,STC,VFB,MON
MON,MID,TENTRB,TEQTRC,MON
MON,NLNVAL,OSC,OSE,MON
MON,NLNVAL,OSC,OSS,MON
MON,NLNVAL,OSC,STASTB,MON
MON,NLNVAL,OSC,STC,MON
MON,NLNVAL,OSC,TENTRB,MON
MON,NLNVAL,OSC,TEQTRC,MON
MON,NLNVAL,OSC,VFB,MON
MON,NLNVAL,OSE,OSO,MON
MON,NLNVAL,OSE,OSS,MON
MON,NLNVAL,OSE,STC,MON
MON,NLNVAL,OSE,TENTRB,MON
MON,NLNVAL,OSE,TEQTRC,MON
MON,NLNVAL,OSE,TRO,MON
